,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,kappa,loss,mean_accuracy,mean_f1,mean_precision,mean_recall,loss_classification,loss_earliness
0,0,1,,train,0.14512048192771085,1.0,0.0002975674166059654,2.0358389999999997,0.14312320402959602,0.11469239683078646,0.14266022810032547,0.14312320402959602,,
2,2,2,,train,0.14361445783132532,1.0,0.0005211710728789072,1.9542343999999998,0.1432760887966975,0.13240418285727618,0.14502755842183987,0.1432760887966975,,
4,4,3,,train,0.1396987951807229,1.0,-0.003584844217240928,1.9518242,0.13972829595982078,0.1299335480235266,0.13792119866727573,0.13972829595982078,,
6,6,4,,train,0.19903614457831328,1.0,0.06577419723880018,1.9220037,0.19889777479711546,0.15964775445238294,0.15509195074352009,0.19889777479711546,,
8,8,5,,train,0.2469879518072289,1.0,0.12208498208065445,1.8153240000000002,0.2483026732253915,0.2000682618477396,0.2370294739614318,0.2483026732253915,,
10,10,6,,train,0.2866265060240964,1.0,0.16841007407749345,1.7495177,0.2881188879499235,0.2634825762159571,0.27346688480776193,0.2881188879499235,,
12,12,7,,train,0.31903614457831325,1.0,0.20470084264166244,1.7137046999999999,0.3163334936102617,0.2756697667131879,0.3117398196240376,0.3163334936102617,,
14,14,8,,train,0.3323493975903615,1.0,0.22077544739874894,1.6779484,0.3322008170917629,0.31256345588583073,0.3242986697868052,0.3322008170917629,,
16,16,9,,train,0.33704819277108433,1.0,0.22697586830769306,1.6686243000000003,0.33845922214676377,0.3114315058770942,0.31678752886490275,0.33845922214676377,,
18,18,10,,train,0.3680120481927711,1.0,0.2624237524975224,1.5996449,0.3675453830790548,0.3415504309912911,0.35858243655721056,0.3675453830790548,,
20,20,11,,train,0.4572891566265061,1.0,0.36698172041589794,1.5027487,0.4566628142635224,0.41666880217622426,0.4412892221915065,0.4566628142635224,,
22,22,12,,train,0.4946385542168675,1.0,0.4097617572823402,1.4434958,0.49255735527111105,0.4756108064404146,0.4849517986170287,0.49255735527111105,,
24,24,13,,train,0.5076506024096386,1.0,0.4254761393840168,1.4146159,0.5086032428472371,0.4942998683736932,0.4973649910939623,0.5086032428472371,,
26,26,14,,train,0.5521084337349398,1.0,0.4773739674900701,1.3531431,0.5493729959339289,0.5308775084962053,0.5323906860956231,0.5493729959339289,,
28,28,15,,train,0.5542168674698795,1.0,0.4796324766691904,1.3258241000000002,0.5504549506306429,0.5367915254822347,0.5357361898133475,0.5504549506306429,,
30,30,16,,train,0.5875301204819278,1.0,0.5188892790810654,1.2875173,0.5897102115287554,0.5679538982373729,0.5699481342623016,0.5897102115287554,,
32,32,17,,train,0.598433734939759,1.0,0.5314040559569846,1.2542681999999998,0.5971088951679961,0.5888445627581571,0.5871837588747172,0.5971088951679961,,
34,34,18,,train,0.6268072289156627,1.0,0.5645952243289135,1.221519,0.6258348760484137,0.6198242687150451,0.6192127986689264,0.6258348760484137,,
36,36,19,,train,0.6343373493975903,1.0,0.5734954652750421,1.1955556,0.6357311946310428,0.6281388081046069,0.6302816803860634,0.6357311946310428,,
38,38,20,,train,0.6521686746987951,1.0,0.5941014094740937,1.1829587,0.6517494914607436,0.6494961180352469,0.6489255971715296,0.6517494914607436,,
40,40,21,,train,0.6519879518072289,1.0,0.5939648460867339,1.1776861,0.6513875836734065,0.6503389387527909,0.6499173718300283,0.6513875836734065,,
42,42,22,,train,0.6731927710843374,1.0,0.6187140439627132,1.1510614,0.674718639524239,0.6736147976811511,0.6729371070878932,0.674718639524239,,
44,44,23,,train,0.6788554216867471,1.0,0.6253280468989539,1.1447136,0.6775516221128021,0.6753683610381493,0.6745820969485639,0.6775516221128021,,
46,46,24,,train,0.6931927710843373,1.0,0.6419857071907221,1.117018,0.691679350846546,0.6904489254581209,0.6906899818068881,0.691679350846546,,
48,48,25,,train,0.7075903614457831,1.0,0.6587771816571558,1.0961988,0.7073966617980778,0.7066016948199384,0.7061595393674269,0.7073966617980778,,
50,50,26,,train,0.7159638554216867,1.0,0.6685649803723129,1.0772674,0.7149817200341316,0.7123178484379936,0.7113808239291027,0.7149817200341316,,
52,52,27,,train,0.7153012048192771,1.0,0.6678087559684858,1.0812831,0.7173125497962717,0.7161948067185998,0.7159178864730009,0.7173125497962717,,
54,54,28,,train,0.7224698795180723,1.0,0.6762067661736215,1.0656356000000002,0.7239298024905529,0.7231741257459163,0.7233314092558101,0.7239298024905529,,
56,56,29,,train,0.7148192771084337,1.0,0.6672260721608103,1.0805577,0.7140987163429561,0.7145961327165857,0.7158784809822659,0.7140987163429561,,
58,58,30,,train,0.7365662650602409,1.0,0.6926039307694649,1.0365921999999999,0.7384371879060583,0.7373587347390769,0.7389776466893846,0.7384371879060583,,
60,60,31,,train,0.7386746987951808,1.0,0.6950949959073278,1.0344421999999998,0.7403504533011729,0.7402055714196764,0.7405429016047366,0.7403504533011729,,
62,62,32,,train,0.7539156626506024,1.0,0.7128828732036259,1.0037589,0.7547023476591654,0.7545237310768912,0.7553697296709583,0.7547023476591654,,
64,64,33,,train,0.7513253012048193,1.0,0.7098672458302108,1.00082,0.7513715223397932,0.7506894713883002,0.7509040361145715,0.7513715223397932,,
66,66,34,,train,0.76,1.0,0.7199739259846201,0.9904065999999999,0.7588983990119373,0.7584437800398561,0.7586168294437884,0.7588983990119373,,
68,68,35,,train,0.7678313253012048,1.0,0.7291447308511769,0.96814346,0.7675638837632034,0.7670278007638032,0.7674190754992835,0.7675638837632034,,
70,70,36,,train,0.7718072289156627,1.0,0.7337292688080668,0.9611424999999999,0.7699280255623849,0.7688549951942212,0.7692063606151501,0.7699280255623849,,
72,72,37,,train,0.7810843373493976,1.0,0.7446139682667899,0.9517540999999999,0.7818947472097735,0.781552471684452,0.7823447890546047,0.7818947472097735,,
74,74,38,,train,0.7769879518072289,1.0,0.7398045763565655,0.95426506,0.7761682475846622,0.7758113597982241,0.7765829791698656,0.7761682475846622,,
76,76,39,,train,0.7845783132530121,1.0,0.7486320325582192,0.9474944,0.7840156674149403,0.7842371500521544,0.7857108884214584,0.7840156674149403,,
78,78,40,,train,0.7810240963855422,1.0,0.7445014632489823,0.94751996,0.7797000182502903,0.7797763277153218,0.7810923779119036,0.7797000182502903,,
80,80,41,,train,0.7951807228915663,1.0,0.7610221059124961,0.9321723,0.7958064456739445,0.7956815335888238,0.7979224896225403,0.7958064456739445,,
82,82,42,,train,0.7998192771084337,1.0,0.7664021531225506,0.91659135,0.8002760550456187,0.8006934877494958,0.8024910838944966,0.8002760550456187,,
84,84,43,,train,0.7989156626506024,1.0,0.7653767342536346,0.927156,0.798142083927842,0.7979985536843175,0.7989526001486024,0.798142083927842,,
86,86,44,,train,0.7911445783132529,1.0,0.7563142585162825,0.9271339,0.7905668505341195,0.7901648606343001,0.789926255221404,0.7905668505341195,,
88,88,45,,train,0.7971084337349398,1.0,0.7632996879049347,0.91283214,0.7970296408542465,0.7965873576029312,0.7972207796588738,0.7970296408542465,,
90,90,46,,train,0.8119879518072289,1.0,0.7806481028329836,0.89204884,0.8134494167168372,0.8132293662930338,0.8136329972970494,0.8134494167168372,,
92,92,47,,train,0.8029518072289157,1.0,0.7700949527669072,0.92043394,0.8027124920626708,0.8024008428555789,0.8043916991009736,0.8027124920626708,,
94,94,48,,train,0.8113855421686746,1.0,0.7799533666896536,0.88643175,0.8119099642957801,0.8119403307945182,0.8131667013463562,0.8119099642957801,,
96,96,49,,train,0.8184939759036145,1.0,0.7882011870469806,0.8850700999999999,0.8173683837376506,0.8176285934388005,0.8194865144420147,0.8173683837376506,,
98,98,50,,train,0.8218072289156626,1.0,0.7920889486757858,0.86397207,0.8220865782170367,0.8223350563620049,0.8236308059449169,0.8220865782170367,0.32182923,0.54214287
100,100,51,,train,0.8226506024096386,1.0,0.7930762298093096,0.8623431999999999,0.8226723692355451,0.8224593536960604,0.8239099013104958,0.8226723692355451,0.32020023,0.54214287
102,102,52,,train,0.8204216867469879,1.0,0.7904863762289142,0.85957617,0.8195034913733779,0.8191061001284433,0.8189398808524812,0.8195034913733779,0.31743327,0.54214287
104,104,53,,train,0.8275903614457831,1.0,0.7988411045549538,0.8555943000000001,0.8266237172780009,0.8268599438840359,0.8276539998348352,0.8266237172780009,0.31345144,0.54214287
106,106,54,,train,0.8378313253012049,1.0,0.8108009277372902,0.8408085,0.8386253881485325,0.8384077227534129,0.8384114335919308,0.8386253881485325,0.29866612,0.5421425
108,108,55,,train,0.8371084337349397,0.9900037050247192,0.8099416500321222,0.8347363999999999,0.8359470469166459,0.8358710323911046,0.8364619071944259,0.8359470469166459,0.29765698,0.5370794
110,110,56,,train,0.8306626506024096,0.9085347652435304,0.8024315242679344,0.80777454,0.8306590056076736,0.8300974995839906,0.830491818595985,0.8306590056076736,0.31194863,0.49582583
112,112,57,,train,0.7934337349397591,0.6519442200660706,0.7589702405013025,0.7381653,0.7940161844448774,0.7937661954249834,0.7960911837443242,0.7940161844448774,0.3724917,0.36567357
114,114,58,,train,0.7856626506024096,0.5648339986801147,0.7499308669531131,0.69819915,0.7845634897519093,0.7835152230810881,0.7860087381626767,0.7845634897519093,0.37654109999999996,0.32165813
116,116,59,,train,0.7883734939759036,0.5716391801834106,0.7531039047295846,0.6971744000000001,0.7888866350192265,0.7884604376288006,0.7896599936986509,0.7888866350192265,0.37208068,0.32509366
118,118,60,,train,0.8040361445783133,0.565975546836853,0.7713605183889342,0.6710805000000001,0.8040391495755731,0.8036141054372724,0.8044861614050298,0.8040391495755731,0.34904256,0.322038
120,120,61,,train,0.7957228915662651,0.5117526650428772,0.7616435362159245,0.6562593000000001,0.7977679259067025,0.7974359607039938,0.79728362989257,0.7977679259067025,0.36179423,0.29446507
122,122,62,,train,0.8032530120481928,0.4999049603939056,0.7703904647880829,0.6485460999999999,0.8024790056142546,0.802126922000648,0.803980737462544,0.8024790056142546,0.35989064,0.28865546
124,124,63,,train,0.8082530120481928,0.5082107186317444,0.7762772069612187,0.6432818,0.8071217487023841,0.8062517982090791,0.80695891073963,0.8071217487023841,0.35043934,0.29284245
126,126,64,,train,0.7987349397590362,0.492933601140976,0.7651809289313163,0.6494424,0.7970446596429914,0.7959303534513371,0.7962233788182828,0.7970446596429914,0.36405748,0.28538498
128,128,65,,train,0.8101807228915663,0.4825481474399567,0.7785594644290973,0.63633215,0.8114301245428059,0.8104754862651268,0.8112315790262794,0.8114301245428059,0.35622883,0.28010333
130,130,66,,train,0.8157831325301205,0.4959908127784729,0.7850583718520994,0.6309628,0.8165524019029683,0.8158889809843901,0.8169221429137467,0.8165524019029683,0.34431133,0.28665137
132,132,67,,train,0.8196385542168675,0.4860560894012451,0.7895784079412012,0.6193878,0.8195289689062136,0.8189639215453134,0.8199581024937388,0.8195289689062136,0.33763102,0.28175676
134,134,68,,train,0.7995783132530121,0.4921609163284302,0.7661638989944666,0.6498371000000001,0.7994778241522489,0.7990895461024756,0.7989873927222645,0.7994778241522489,0.36499482,0.28484222
136,136,69,,train,0.7868072289156627,0.5109716057777405,0.7512625603253094,0.66432,0.7867563417909532,0.7852281769568618,0.7895483231187429,0.7867563417909532,0.37009647,0.2942235
138,138,70,,train,0.8143373493975904,0.5024839639663696,0.7833847419088256,0.6340408000000001,0.8143612425855066,0.8134090036663656,0.8156022496195474,0.8143612425855066,0.34414127,0.2898995
140,140,71,,train,0.8066265060240964,0.5075358152389526,0.7743737369098944,0.64549625,0.8072145717855356,0.8069268752825204,0.8073005265022559,0.8072145717855356,0.35316467,0.29233152
142,142,72,,train,0.8251204819277108,0.4976493120193482,0.7959537827090746,0.6181804,0.8245885820061308,0.8240330712758528,0.8250275688956709,0.8245885820061308,0.33079147,0.28738892
144,144,73,,train,0.8138554216867471,0.5080845355987549,0.7827975940050713,0.6358214,0.8129501169827014,0.8126977542912134,0.8140400380653665,0.8129501169827014,0.34314296,0.29267845
146,146,74,,train,0.8240963855421687,0.4880731701850891,0.7947460380474161,0.61785173,0.823738006461373,0.8233177018635907,0.8242852924610127,0.823738006461373,0.33506954,0.28278220000000004
148,148,75,,train,0.8218072289156626,0.5023325681686401,0.7921244369195429,0.61559886,0.8220252531466503,0.8211204500162782,0.8222551977331113,0.8220252531466503,0.32598224,0.28961664
150,150,76,,train,0.8243975903614458,0.4878721833229065,0.7951095175175287,0.6140674,0.824749882238933,0.8244881336290251,0.8247783460463861,0.824749882238933,0.33154523,0.28252214
152,152,77,,train,0.8304216867469879,0.4914694428443909,0.8021578239567303,0.60225594,0.8306811163743283,0.8304350487524138,0.8308007700762677,0.8306811163743283,0.31788024,0.2843757
154,154,78,,train,0.8295783132530121,0.4783834517002106,0.8011782504719918,0.60611075,0.8299578194926163,0.8294367266333678,0.8296730853761479,0.8299578194926163,0.32809666,0.27801397
156,156,79,,train,0.8301204819277108,0.48827064037323,0.8017974236806715,0.60248095,0.8320063176472152,0.8313583417303392,0.8314571921953615,0.8320063176472152,0.319739,0.28274193
158,158,80,,train,0.8386144578313253,0.4808081984519959,0.8116866666746274,0.59165585,0.8381391661031353,0.83800598768829,0.8393922010785404,0.8381391661031353,0.31248159999999997,0.27917427
160,160,81,,train,0.8412650602409638,0.4915511310100555,0.8148211110165198,0.58646125,0.8408051451583807,0.8399380183632094,0.8402130127212731,0.8408051451583807,0.30195690000000003,0.28450435
162,162,82,,train,0.8390963855421687,0.47849440574646,0.8122668024643517,0.58727497,0.8396482240260451,0.8388474911598633,0.8407295433337583,0.8396482240260451,0.30930522,0.27796972
164,164,83,,train,0.8271084337349398,0.4858627915382385,0.7982672493929578,0.6048786,0.8272629026930401,0.8269021367353491,0.8272117166121725,0.8272629026930401,0.32322192,0.2816566
166,166,84,,train,0.8271084337349398,0.499743640422821,0.7982466463925479,0.61397815,0.8274977358223238,0.8269689311332058,0.8290539840519106,0.8274977358223238,0.3255052,0.28847290000000003
168,168,85,,train,0.7953012048192771,0.5071505308151245,0.7611855167755311,0.6498686,0.7960727789763408,0.7951911313543621,0.795509246886948,0.7960727789763408,0.35779995,0.29206872
170,170,86,,train,0.8156626506024096,0.501589834690094,0.7849334710432031,0.63124925,0.8152026838141406,0.8142608081388237,0.8150604526126477,0.8152026838141406,0.34196535,0.28928390000000004
172,172,87,,train,0.8382530120481928,0.4898604154586792,0.8112786774235605,0.5954611,0.8389006119145976,0.8384909957116321,0.8395519173463496,0.8389006119145976,0.31184384,0.28361726
174,174,88,,train,0.8400602409638555,0.4815667569637298,0.8133813068103455,0.59369963,0.8393578644325582,0.8392729600340291,0.8404160624874739,0.8393578644325582,0.31416345,0.27953625
176,176,89,,train,0.8484939759036144,0.4804920852184296,0.8232390087277142,0.57496446,0.8480571636055803,0.8476075907261073,0.8483611970994057,0.8480571636055803,0.2960817,0.27888274
178,178,90,,train,0.8410843373493976,0.4813700914382935,0.8145955891161563,0.5846656,0.8404201181039033,0.8398525333042824,0.8404947607028336,0.8404201181039033,0.30525595,0.27940968
180,180,91,,train,0.8406626506024096,0.4803417325019837,0.8141040018229976,0.59201103,0.8413795992507439,0.8408665970884167,0.8415188691266496,0.8413795992507439,0.31319553,0.27881548
182,182,92,,train,0.8447590361445784,0.4807247817516327,0.818876215284084,0.58298445,0.8438198220864169,0.8432065419614663,0.8446586337251103,0.8438198220864169,0.3038269,0.27915764
184,184,93,,train,0.8246987951807229,0.4852271378040314,0.7954367514709064,0.6067210999999999,0.8243623260478896,0.8240734421450201,0.8255102760159254,0.8243623260478896,0.32535228,0.28136885
186,186,94,,train,0.8342168674698796,0.485119491815567,0.8065763712006193,0.5956505999999999,0.8346768031978524,0.8340887033170344,0.8357100420782922,0.8346768031978524,0.314445,0.28120562
188,188,95,,train,0.8418072289156626,0.4946863651275635,0.8154432651908464,0.59201133,0.8417816204499237,0.8414904549344764,0.8422054707946021,0.8417816204499237,0.30606008,0.28595123
190,190,96,,train,0.8527710843373494,0.4829956591129303,0.8282074184462881,0.57986915,0.8529281940279522,0.8525675000262496,0.8540812440781025,0.8529281940279522,0.29969478,0.28017437
192,192,97,,train,0.8472289156626506,0.477666586637497,0.8217517985422039,0.5784303000000001,0.8469913894180817,0.8470665001805708,0.8479774216751909,0.8469913894180817,0.3009553,0.27747503
194,194,98,,train,0.8424698795180723,0.4778270721435547,0.8162126778136732,0.5802896,0.8429500763787443,0.8428996730954356,0.8445572314789004,0.8429500763787443,0.30261567,0.27767396
196,196,99,,train,0.8593373493975903,0.4809926450252533,0.8358915373337501,0.56496614,0.8586518336949871,0.8580618064915005,0.8580482109072253,0.8586518336949871,0.28582788,0.27913833
198,198,100,,train,0.8572289156626506,0.4707753360271454,0.8334143932521744,0.56102014,0.8563054463579104,0.8564426072478782,0.8571026344468363,0.8563054463579104,0.28673577,0.27428433
